,address,istabas,platiba,stavs,tips,cena_m2,cena(eiro)
1,Āgenskalna 22B,2,42.0,4/5,Hrušč.,1429.0,60000.0
2,Baložu 5,4,112.0,3/3,Priv. m.,2393.0,268000.0
3,Daugavgrīvas 3,Nav norādīts,370.0,1/2,Priv. m.,754.0,279000.0
4,Nomales 7,1,39.0,1/4,Specpr.,615.0,24000.0
5,Elvīras 10,Nav norādīts,363.0,1/5,Hrušč.,344.0,125000.0
6,Raņķa d. 7,2,42.0,4/5,Hrušč.,1429.0,60000.0
7,Āgenskalna 24,2,41.0,1/5,Jaun.,1949.0,79900.0
8,Raņķa d. 9,2,53.0,6/1,Jaun.,1698.0,90000.0
9,Grīna bulv. 3,3,67.0,5/5,Staļina,2672.0,179000.0
10,Altonavas 17,1,26.0,2/2,P. kara,423.0,11000.0
11,Slokas 40,3,64.0,3/3,P. kara,1203.0,77000.0
12,Kalnciema 1,2,42.0,2/5,Hrušč.,1500.0,63000.0
13,Melnsila 21,2,43.0,5/5,Hrušč.,884.0,38000.0
14,Auces 3,2,47.0,3/3,P. kara,2021.0,95000.0
15,M. Kuldīgas 4,1,22.0,2/2,P. kara,568.0,12500.0
16,Kuldīgas 32,2,54.0,3/4,Renov.,981.0,53000.0
17,Kristapa 12,1,17.0,2/4,Hrušč.,1059.0,18000.0
18,Mārupes 15,3,84.0,4/5,Staļina,1405.0,118000.0
19,Valentīna 16,3,74.0,1/2,Jaun.,1824.0,135000.0
20,Gardenes 7,3,54.0,4/5,Hrušč.,1013.0,54700.0
21,Margrietas 16,2,108.0,3/3,Renov.,1389.0,150000.0
22,Vienības g. 87,4,116.0,3/3,Renov.,1483.0,172000.0
23,Ventspils 65A,1,37.0,1/4,Renov.,986.0,36500.0
24,Valentīna 16,2,36.0,3/4,Renov.,2189.0,78800.0
25,Valentīna 16,2,36.0,3/4,Jaun.,2189.0,78800.0
26,Bišu 17,2,23.0,2/3,P. kara,1000.0,23000.0
27,Āgenskalna 20,1,32.0,2/5,Hrušč.,1125.0,36000.0
28,Valentīna 16,3,61.0,2/3,Specpr.,1885.0,115000.0
29,M. Nometņu 11a,1,22.0,1/3,P. kara,682.0,15000.0
30,Krūzes 13,1,33.0,2/2,P. kara,409.0,13500.0
